gageid,agency,domain
06903400,USGS,CONUS
06903700,USGS,CONUS
06906150,USGS,CONUS
06906800,USGS,CONUS
06907700,USGS,CONUS
06909500,USGS,CONUS
06909950,USGS,CONUS
06910230,USGS,CONUS
06910750,USGS,CONUS
06910800,USGS,CONUS
06911490,USGS,CONUS
06911900,USGS,CONUS
06914000,USGS,CONUS
06917000,USGS,CONUS
06917500,USGS,CONUS
06918460,USGS,CONUS
06919500,USGS,CONUS
06921070,USGS,CONUS
06921200,USGS,CONUS
06921590,USGS,CONUS
06921600,USGS,CONUS
06921720,USGS,CONUS
06923940,USGS,CONUS
06927000,USGS,CONUS
06928000,USGS,CONUS
06928300,USGS,CONUS
06930000,USGS,CONUS
06932000,USGS,CONUS
07001985,USGS,CONUS
07010350,USGS,CONUS
07014000,USGS,CONUS
07017200,USGS,CONUS
07021000,USGS,CONUS
07025400,USGS,CONUS
07030392,USGS,CONUS
07030500,USGS,CONUS
07037500,USGS,CONUS
07048550,USGS,CONUS
07049000,USGS,CONUS
07050152,USGS,CONUS
07050500,USGS,CONUS
07050690,USGS,CONUS
07050700,USGS,CONUS
07053250,USGS,CONUS
07053810,USGS,CONUS
07054080,USGS,CONUS
07055646,USGS,CONUS
07055875,USGS,CONUS
07056515,USGS,CONUS
07057500,USGS,CONUS
07058000,USGS,CONUS
07060710,USGS,CONUS
07061270,USGS,CONUS
07064440,USGS,CONUS
07065200,USGS,CONUS
07071500,USGS,CONUS
07072000,USGS,CONUS
07075000,USGS,CONUS
07083000,USGS,CONUS
07096250,USGS,CONUS
07103700,USGS,CONUS
07103780,USGS,CONUS
07105490,USGS,CONUS
07126200,USGS,CONUS
07126300,USGS,CONUS
07142300,USGS,CONUS
07144780,USGS,CONUS
07145700,USGS,CONUS
07148400,USGS,CONUS
07149000,USGS,CONUS
07151500,USGS,CONUS
07157500,USGS,CONUS
07160500,USGS,CONUS
07164600,USGS,CONUS
07165562,USGS,CONUS
07167500,USGS,CONUS
07180500,USGS,CONUS
07184000,USGS,CONUS
07185090,USGS,CONUS
07185910,USGS,CONUS
07187000,USGS,CONUS
07188653,USGS,CONUS
07189100,USGS,CONUS
07191222,USGS,CONUS
07195800,USGS,CONUS
07196900,USGS,CONUS
07197360,USGS,CONUS
07208500,USGS,CONUS
07226500,USGS,CONUS
07233500,USGS,CONUS
07241780,USGS,CONUS
07247250,USGS,CONUS
07249400,USGS,CONUS
07249800,USGS,CONUS
07249920,USGS,CONUS
07250935,USGS,CONUS
07250974,USGS,CONUS
07252000,USGS,CONUS
07257006,USGS,CONUS
07257500,USGS,CONUS
07260000,USGS,CONUS
07261000,USGS,CONUS
07263295,USGS,CONUS
072632962,USGS,CONUS
072632982,USGS,CONUS
07274000,USGS,CONUS
07283000,USGS,CONUS
07288280,USGS,CONUS
07291000,USGS,CONUS
07299670,USGS,CONUS
07301410,USGS,CONUS
07303400,USGS,CONUS
07311500,USGS,CONUS
07311800,USGS,CONUS
07312200,USGS,CONUS
07315200,USGS,CONUS
07315700,USGS,CONUS
07325860,USGS,CONUS
07329780,USGS,CONUS
07331300,USGS,CONUS
07332390,USGS,CONUS
07335700,USGS,CONUS
